iter: 270000, trainloss: 4096.91, valloss: 4482.21, testloss: 3673.55, lr: 0.004998, time_diff: 1870.320655
iter: 275000, trainloss: 4097.46, valloss: 4299.16, testloss: 3774.70, lr: 0.004998, time_diff: 1865.565928
iter: 280000, trainloss: 4245.25, valloss: 4303.25, testloss: 3755.97, lr: 0.004998, time_diff: 1869.636336
iter: 285000, trainloss: 4140.62, valloss: 4282.36, testloss: 3612.36, lr: 0.004997, time_diff: 1866.874083
iter: 290000, trainloss: 3956.12, valloss: 4451.70, testloss: 3434.86, lr: 0.004997, time_diff: 1868.120638
iter: 295000, trainloss: 3962.09, valloss: 4329.26, testloss: 3699.46, lr: 0.004997, time_diff: 1867.986028
iter: 300000, trainloss: 4047.51, valloss: 4403.20, testloss: 3521.14, lr: 0.004997, time_diff: 1869.110421
iter: 305000, trainloss: 4140.58, valloss: 4454.22, testloss: 3499.11, lr: 0.004997, time_diff: 1867.880203
iter: 310000, trainloss: 4188.63, valloss: 4326.16, testloss: 3417.40, lr: 0.004997, time_diff: 1868.918584
iter: 315000, trainloss: 3881.80, valloss: 4288.64, testloss: 3508.99, lr: 0.004997, time_diff: 1869.148967
iter: 320000, trainloss: 4321.67, valloss: 4472.76, testloss: 3576.26, lr: 0.004997, time_diff: 1866.757675
iter: 325000, trainloss: 3989.68, valloss: 4403.08, testloss: 3548.99, lr: 0.004997, time_diff: 1874.799748
iter: 330000, trainloss: 4137.61, valloss: 4619.06, testloss: 3645.13, lr: 0.004997, time_diff: 1868.427058
iter: 335000, trainloss: 4198.60, valloss: 4388.24, testloss: 3532.35, lr: 0.004997, time_diff: 1867.904131
iter: 340000, trainloss: 3741.68, valloss: 4327.87, testloss: 3492.08, lr: 0.004996, time_diff: 1867.496952
iter: 345000, trainloss: 4326.79, valloss: 4567.38, testloss: 3567.54, lr: 0.004996, time_diff: 1867.022814
iter: 350000, trainloss: 4244.57, valloss: 4304.06, testloss: 3512.95, lr: 0.004996, time_diff: 1869.637535
iter: 355000, trainloss: 4095.50, valloss: 4218.43, testloss: 3712.68, lr: 0.004996, time_diff: 1869.658062
iter: 360000, trainloss: 4058.55, valloss: 4431.63, testloss: 3447.21, lr: 0.004996, time_diff: 1873.575491
iter: 365000, trainloss: 4031.83, valloss: 4344.54, testloss: 3677.26, lr: 0.004996, time_diff: 1877.050920
iter: 370000, trainloss: 4114.21, valloss: 4404.24, testloss: 3542.23, lr: 0.004996, time_diff: 1867.136466
iter: 375000, trainloss: 3732.56, valloss: 4527.85, testloss: 3413.73, lr: 0.004996, time_diff: 1867.287873
iter: 380000, trainloss: 3928.59, valloss: 4510.90, testloss: 3479.88, lr: 0.004996, time_diff: 1867.935169
iter: 385000, trainloss: 3654.27, valloss: 4314.15, testloss: 3530.62, lr: 0.004995, time_diff: 1870.937690
iter: 390000, trainloss: 4056.19, valloss: 4329.42, testloss: 3765.69, lr: 0.004995, time_diff: 1869.536615
iter: 395000, trainloss: 4029.06, valloss: 4514.29, testloss: 3252.86, lr: 0.004995, time_diff: 1870.716891
iter: 400000, trainloss: 4080.55, valloss: 4158.13, testloss: 3404.71, lr: 0.004995, time_diff: 1880.762126
iter: 405000, trainloss: 4183.17, valloss: 4310.59, testloss: 3478.20, lr: 0.004995, time_diff: 1868.697918
iter: 410000, trainloss: 4015.79, valloss: 4364.44, testloss: 3750.99, lr: 0.004995, time_diff: 1871.261876
iter: 415000, trainloss: 3990.31, valloss: 4507.34, testloss: 3359.38, lr: 0.004995, time_diff: 1870.326007
iter: 420000, trainloss: 3881.97, valloss: 4079.97, testloss: 3599.38, lr: 0.004995, time_diff: 1870.459914
iter: 425000, trainloss: 3746.42, valloss: 4387.12, testloss: 3524.95, lr: 0.004994, time_diff: 1868.420492
iter: 430000, trainloss: 3729.95, valloss: 4631.32, testloss: 3404.84, lr: 0.004994, time_diff: 1867.861183
iter: 435000, trainloss: 3879.82, valloss: 4435.35, testloss: 3294.98, lr: 0.004994, time_diff: 1870.368776
iter: 440000, trainloss: 4164.57, valloss: 4208.67, testloss: 3537.49, lr: 0.004994, time_diff: 1867.948689
iter: 445000, trainloss: 4278.45, valloss: 4470.09, testloss: 3755.85, lr: 0.004994, time_diff: 1868.635319
iter: 450000, trainloss: 3818.53, valloss: 4292.93, testloss: 3667.31, lr: 0.004994, time_diff: 1868.421425
iter: 455000, trainloss: 4062.16, valloss: 4302.42, testloss: 3509.89, lr: 0.004994, time_diff: 1869.366858
iter: 460000, trainloss: 3998.59, valloss: 4275.56, testloss: 3732.01, lr: 0.004993, time_diff: 1870.713707
iter: 465000, trainloss: 3753.48, valloss: 4417.06, testloss: 3503.84, lr: 0.004993, time_diff: 1870.924816
iter: 470000, trainloss: 3552.74, valloss: 4595.65, testloss: 3755.70, lr: 0.004993, time_diff: 1870.979188
iter: 475000, trainloss: 4224.46, valloss: 4493.96, testloss: 3629.21, lr: 0.004993, time_diff: 1875.842005
iter: 480000, trainloss: 3875.34, valloss: 4484.32, testloss: 3474.06, lr: 0.004993, time_diff: 1878.368082
iter: 485000, trainloss: 4074.03, valloss: 4380.82, testloss: 3355.46, lr: 0.004993, time_diff: 1872.658353
iter: 490000, trainloss: 4062.92, valloss: 4272.30, testloss: 3895.41, lr: 0.004993, time_diff: 1868.098020
iter: 495000, trainloss: 3962.89, valloss: 4192.48, testloss: 3766.78, lr: 0.004992, time_diff: 1870.404964
iter: 500000, trainloss: 3957.14, valloss: 4234.99, testloss: 3473.53, lr: 0.004992, time_diff: 1870.455734
iter: 505000, trainloss: 4056.35, valloss: 4318.83, testloss: 3620.80, lr: 0.004992, time_diff: 1872.795738
iter: 510000, trainloss: 3914.26, valloss: 4298.55, testloss: 3272.07, lr: 0.004992, time_diff: 1870.076501
iter: 515000, trainloss: 3848.69, valloss: 4408.60, testloss: 3453.51, lr: 0.004992, time_diff: 1870.532356
